bash: scripts/train_distributed.py: Permissão negada
2026-03-09 21:54:44,784 | === Training started: 2026-03-09T21:54:44.784889 ===
2026-03-09 21:54:44,785 | Config: AletheionV2Config(vocab_size=50257, d_model=1024, n_heads=16, n_layers=24, d_ff=4096, max_seq_len=1024, dropout=0.1, rope_base=10000.0, gate_hidden_dim=64, gate_num_layers=2, gate_dropout=0.1, enable_fractal=False, drm_dim=5, drm_num_anchors=6, drm_coord_activation='sigmoid', metric_eps=1e-06, dir_num_bins=16, mad_init_log_tau_sq=0.0, mad_per_axis=True, vi_phi_weights=(0.35, 0.25, 0.25, 0.15), vi_phi_critical=0.5, vi_injection_strength=0.6, vi_confidence_penalty=0.4, vi_ideal_conf_std=0.15, mpc_num_actions=12, mpc_beam_width=4, mpc_lookahead_depth=3, mpc_phi_floor=0.45, mpc_intervention_cost_weight=0.2, enable_eidos=True, eidos_base_decay=0.95, eidos_base_reinforce=1.05, eidos_dream_intensity=3.0, enable_filosofia3=True, filosofia3_quality_projection=(0.1, 0.1, 0.1, 0.7), filosofia3_analytical_weight=0.7, enable_consciousness=True, consciousness_hidden_dim=32, consciousness_energy_decay=0.3, enable_grounding=True, grounding_task_hidden_dim=64, grounding_ambiguity_hidden_dim=32, enable_plasticity=True, plasticity_initial_budget=1.0, plasticity_depletion_rate=0.02, enable_mpl=True, mpl_resolution=10, mpl_bandwidth=0.15, mpl_hidden_dim=16, enable_mopsi=True, mopsi_hidden_dim=32, enable_causal_state=True, causal_state_hidden_dim=32, enable_metacognitive=True, metacognitive_hidden_dim=128, metacognitive_proj_dim=0, enable_ewc=True, ewc_lambda=100.0, ewc_online=True, ewc_gamma=0.9, ewc_fisher_samples=256, enable_replay=True, replay_buffer_size=10000, replay_mix_ratio=0.1, enable_tomography=False, lambda_ce=1.0, lambda_varo=0.1, lambda_vi=0.01, lambda_mad=0.05, lambda_metric_reg=0.001, lambda_eidos=0.005, lambda_conflict=0.005, lambda_consciousness=0.003, lambda_grounding=0.005, lambda_plasticity=0.002, lambda_frontier=0.002, lambda_mopsi=0.003, lambda_contrastive=0.003, lambda_stp=0.01, enable_stp=True, stp_num_triplets=1, loss_warmup_fraction=0.1, loss_ramp_fraction=0.5, lambda_decay_mode='none', lambda_decay_k=0.0003, lambda_decay_factor=1.0, lambda_decay_interval=0, learning_rate=0.0003, weight_decay=0.01, batch_size=4, max_epochs=10, grad_clip=1.0, warmup_steps=2000, log_interval=50, eval_interval=500, early_stopping_patience=10, tokenizer_name='gpt2', tokenizer_path='', data_dir='data/350m_rtx4090', dataset_name='', dataset_subset='', data_mix_weights='', num_workers=4, prefetch_factor=2, streaming=False, distributed=False, dist_backend='nccl', fsdp=False, fsdp_sharding='full', gradient_checkpointing=True, gradient_accumulation_steps=16, mixed_precision='bf16', compile_model=False, wandb_project='aletheion-v2-350m', wandb_run_name='', tensorboard_dir='', save_dir='checkpoints/350m_backbone_final', save_interval=500, save_total_limit=5, total_tokens=7000000000, tokens_per_step=0)
2026-03-09 21:59:47,940 | annealing=1.000000 | ce=3.328377 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.632499 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=105050 | stp=1.468305 | tokens_per_sec=10837.697132 | tokens_seen=6884556800 | total=3.343060 | varo=0.000000 | vi=0.000000
2026-03-09 22:55:26,909 | annealing=1.000000 | ce=3.305873 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.618740 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=105600 | stp=1.465563 | tokens_per_sec=10798.718209 | tokens_seen=6920601600 | total=3.320529 | varo=0.000000 | vi=0.000000
2026-03-09 23:00:31,970 | annealing=1.000000 | ce=3.321389 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.623068 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=105650 | stp=1.471893 | tokens_per_sec=10794.291446 | tokens_seen=6923878400 | total=3.336108 | varo=0.000000 | vi=0.000000
2026-03-09 23:05:32,912 | annealing=1.000000 | ce=3.303338 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.647179 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=105700 | stp=1.464279 | tokens_per_sec=10800.966469 | tokens_seen=6927155200 | total=3.317981 | varo=0.000000 | vi=0.000000
2026-03-09 23:10:36,609 | annealing=1.000000 | ce=3.306610 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.642531 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=105750 | stp=1.466583 | tokens_per_sec=10800.214047 | tokens_seen=6930432000 | total=3.321276 | varo=0.000000 | vi=0.000000
2026-03-09 23:15:40,604 | annealing=1.000000 | ce=3.295531 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.595469 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=105800 | stp=1.469189 | tokens_per_sec=10798.892406 | tokens_seen=6933708800 | total=3.310223 | varo=0.000000 | vi=0.000000
2026-03-09 23:20:41,520 | annealing=1.000000 | ce=3.314235 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.606523 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=105850 | stp=1.468163 | tokens_per_sec=10804.177519 | tokens_seen=6936985600 | total=3.328916 | varo=0.000000 | vi=0.000000
2026-03-09 23:25:47,631 | annealing=1.000000 | ce=3.295864 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.621673 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=105900 | stp=1.465353 | tokens_per_sec=10798.596441 | tokens_seen=6940262400 | total=3.310517 | varo=0.000000 | vi=0.000000
2026-03-09 23:30:47,120 | annealing=1.000000 | ce=3.292221 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.635401 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=105950 | stp=1.465749 | tokens_per_sec=10806.015854 | tokens_seen=6943539200 | total=3.306879 | varo=0.000000 | vi=0.000000
2026-03-09 23:35:43,267 | annealing=1.000000 | ce=3.285897 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.618146 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=106000 | stp=1.468329 | tokens_per_sec=10818.664786 | tokens_seen=6946816000 | total=3.300580 | varo=0.000000 | vi=0.000000
2026-03-09 23:40:41,083 | annealing=1.000000 | ce=3.308375 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.607036 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=106050 | stp=1.466958 | tokens_per_sec=10827.292021 | tokens_seen=6950092800 | total=3.323044 | varo=0.000000 | vi=0.000000
2026-03-09 23:45:37,158 | annealing=1.000000 | ce=3.290673 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.618259 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=106100 | stp=1.467814 | tokens_per_sec=10837.982208 | tokens_seen=6953369600 | total=3.305351 | varo=0.000000 | vi=0.000000
2026-03-09 23:50:33,311 | annealing=1.000000 | ce=3.288384 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.622989 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=106150 | stp=1.468073 | tokens_per_sec=10847.639772 | tokens_seen=6956646400 | total=3.303065 | varo=0.000000 | vi=0.000000
2026-03-09 23:55:36,531 | annealing=1.000000 | ce=3.279235 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.604715 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=106200 | stp=1.470225 | tokens_per_sec=10845.926988 | tokens_seen=6959923200 | total=3.293937 | varo=0.000000 | vi=0.000000
2026-03-10 00:00:42,542 | annealing=1.000000 | ce=3.289190 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.602932 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=106250 | stp=1.467863 | tokens_per_sec=10840.346657 | tokens_seen=6963200000 | total=3.303869 | varo=0.000000 | vi=0.000000
2026-03-10 00:05:45,629 | annealing=1.000000 | ce=3.272410 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.624301 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=106300 | stp=1.464018 | tokens_per_sec=10839.231209 | tokens_seen=6966476800 | total=3.287050 | varo=0.000000 | vi=0.000000
2026-03-10 00:10:47,525 | annealing=1.000000 | ce=3.288225 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.610106 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=106350 | stp=1.467233 | tokens_per_sec=10839.779284 | tokens_seen=6969753600 | total=3.302897 | varo=0.000000 | vi=0.000000
2026-03-10 00:15:49,115 | annealing=1.000000 | ce=3.281794 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.608549 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=106400 | stp=1.464819 | tokens_per_sec=10840.681703 | tokens_seen=6973030400 | total=3.296443 | varo=0.000000 | vi=0.000000
2026-03-10 00:20:51,197 | annealing=1.000000 | ce=3.282095 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.618979 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=106450 | stp=1.468042 | tokens_per_sec=10840.912826 | tokens_seen=6976307200 | total=3.296775 | varo=0.000000 | vi=0.000000
2026-03-10 00:26:11,662 | annealing=1.000000 | ce=3.276505 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.599389 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=106500 | stp=1.468543 | tokens_per_sec=10819.194826 | tokens_seen=6979584000 | total=3.291191 | varo=0.000000 | vi=0.000000
2026-03-10 00:31:42,647 | annealing=1.000000 | ce=3.277615 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.613214 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=106550 | stp=1.465496 | tokens_per_sec=10786.892522 | tokens_seen=6982860800 | total=3.292270 | varo=0.000000 | vi=0.000000
2026-03-10 00:37:15,217 | annealing=1.000000 | ce=3.284686 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.606742 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=106600 | stp=1.469985 | tokens_per_sec=10755.034935 | tokens_seen=6986137600 | total=3.299385 | varo=0.000000 | vi=0.000000
2026-03-10 00:42:41,634 | annealing=1.000000 | ce=3.281861 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.623047 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=106650 | stp=1.461905 | tokens_per_sec=10731.829227 | tokens_seen=6989414400 | total=3.296480 | varo=0.000000 | vi=0.000000
2026-03-10 00:48:15,866 | annealing=1.000000 | ce=3.275962 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.604505 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=106700 | stp=1.464702 | tokens_per_sec=10702.038953 | tokens_seen=6992691200 | total=3.290610 | varo=0.000000 | vi=0.000000
2026-03-10 00:53:41,692 | annealing=1.000000 | ce=3.282786 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.613989 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=106750 | stp=1.468109 | tokens_per_sec=10682.460218 | tokens_seen=6995968000 | total=3.297467 | varo=0.000000 | vi=0.000000
2026-03-10 00:59:17,596 | annealing=1.000000 | ce=3.268965 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.601378 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=106800 | stp=1.462718 | tokens_per_sec=10654.327208 | tokens_seen=6999244800 | total=3.283592 | varo=0.000000 | vi=0.000000
